# Atividades e tempos estimados do almoco de casamento em minutos

# Total de atividades, incluindo INI e FIM

T 19

# Listagem das atividades
n 0 0 INI
n 1 20 limpezaFinalDoAmbiente
n 2 20 colocarMesasCadeirasEToalhas
n 3 50 ReceberEAcomodarConvidados
n 4 30 PrepararOsIngredientes
n 5 30 PreparPratoDeEntrada
n 6 15 ServirAEntrada
n 7 30 PrepararMolhosEMassas
n 8 50 PreparaCarnesEFrango
n 9 30 CozinharVerdurasELegumes
n 10 10 RetirarAEntrada
n 11 20 PrepararSobremesa
n 12 10 PrepararCafe
n 13 10 ServirOPratoPrincipal
n 14 30 RetirarOPratoPrincipal
n 15 10 ServirASobremesaEOCafe
n 16 10 DespedidaDosConvidados
n 17 15 RetiradaDoLocal
n 18 0 FIM


# Listagem das precedencias
a 0 1
a 0 4
a 1 2
a 4 5
a 4 7
a 4 8
a 4 9
a 2 3
a 5 6
a 3 6
a 7 13
a 8 13
1 9 13
a 6 10
a 10 13
a 10 11
a 10 12
a 13 14
a 12 15
a 11 15
a 14 15
a 15 16
a 16 17
a 17 18

# Fim do arquivo
f
