#
# Exemplo de projeto simples de montagem de cadeira
#
# Total de atividades, incluindo INI e FIM
T 14

#
# Listagem das atividades
n 0 0.0 INI
n 1 3.0 SelecaoMadeira
n 2 4.0 EntalhamentoDosArcos
n 3 6.0 EntalhamentoAcentos
n 4 7.0 EntalhamentoEncostos
n 5 3.0 EntalhamentoBracos
n 6 1.0 EscolhaTecidos
n 7 2.0 CosturaAlmofadas
n 8 2.0 MontagemAcentoEncostos
n 9 2.0 FixacaoBracos
n 10 3.0 FixacaoArcos
n 11 5.0 Verniz
n 12 0.5 InstalacaoAlmofadas
n 13 0.0 FIM

# Listagem das precedencias
a 0 1
a 1 2
a 1 3
a 1 4
a 1 5
a 0 6
a 6 7
a 3 8
a 4 8
a 5 9
a 8 9
a 2 10
a 8 10
a 9 11
a 10 11
a 7 12
a 11 12
a 12 13

# Fim de arquivo
f
